age;job;marital;education;default;housing;loan;contact;month;day_of_week;duration;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y
59.0;retired;married;unknown;no;no;no;cellular;aug;wed;385;2;999;1;failure;-2.9;92.20100000000001;-31.4;0.884;5076.2;yes
32.0;technician;single;professional.course;no;yes;no;cellular;may;mon;183;1;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.2990000000000002;5099.1;no
33.0;admin.;married;university.degree;no;yes;no;cellular;nov;tue;51;1;999;0;nonexistent;-0.1;93.2;-42.0;4.1530000000000005;5195.8;no
26.0;admin.;single;university.degree;no;no;no;cellular;jul;wed;285;3;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.963;5228.1;no
61.0;blue-collar;married;basic.6y;no;yes;yes;cellular;may;fri;403;1;3;2;success;-1.8;93.876;-40.0;0.695;5008.7;yes
45.0;housemaid;divorced;basic.4y;unknown;no;no;cellular;jul;fri;420;1;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.957;5228.1;yes
34.0;management;married;university.degree;no;no;no;telephone;oct;wed;290;2;999;0;nonexistent;-3.4;92.431;-26.9;0.742;5017.5;yes
37.0;housemaid;single;university.degree;no;no;no;cellular;may;fri;288;2;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.2590000000000001;5099.1;yes
29.0;admin.;single;university.degree;no;yes;no;cellular;aug;fri;520;1;999;0;nonexistent;1.4;93.444;-36.1;4.9639999999999995;5228.1;yes
55.0;management;married;university.degree;no;yes;yes;cellular;aug;tue;384;4;999;0;nonexistent;1.4;93.444;-36.1;4.965;5228.1;no
34.0;admin.;married;university.degree;no;no;no;cellular;oct;fri;281;1;999;2;failure;-3.4;92.431;-26.9;0.73;5017.5;yes
33.0;self-employed;married;university.degree;no;no;no;telephone;may;tue;792;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no
45.0;unknown;unknown;unknown;no;yes;yes;cellular;jul;wed;496;1;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.957;5228.1;yes
27.0;admin.;single;professional.course;no;no;no;cellular;jul;tue;46;1;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.962;5228.1;no
36.0;management;married;basic.9y;no;yes;no;cellular;may;wed;503;2;999;1;failure;-1.8;92.89299999999999;-46.2;1.334;5099.1;no
26.0;services;single;high.school;no;no;no;cellular;jul;fri;588;7;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.957;5228.1;yes
36.0;admin.;divorced;high.school;no;yes;no;telephone;jun;wed;54;4;999;0;nonexistent;1.4;94.465;-41.8;4.962;5228.1;no
36.0;self-employed;divorced;basic.4y;no;no;no;telephone;jun;fri;79;1;999;0;nonexistent;1.4;94.465;-41.8;4.959;5228.1;no
23.0;student;single;high.school;no;yes;no;cellular;jul;wed;139;5;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.963;5228.1;no
45.0;blue-collar;married;basic.4y;no;no;no;telephone;may;thu;164;1;999;0;nonexistent;1.1;93.994;-36.4;4.86;5191.0;no
43.0;admin.;married;university.degree;no;no;yes;cellular;jun;tue;310;1;999;0;nonexistent;-2.9;92.963;-40.8;1.262;5076.2;no
68.0;retired;single;university.degree;no;no;no;cellular;sep;mon;500;2;999;1;failure;-3.4;92.37899999999999;-29.8;0.7390000000000001;5017.5;no
32.0;management;single;university.degree;no;no;no;cellular;may;thu;162;4;999;1;failure;-1.8;92.89299999999999;-46.2;1.266;5099.1;no
29.0;blue-collar;married;basic.9y;unknown;no;no;cellular;nov;wed;85;2;999;0;nonexistent;-0.1;93.2;-42.0;4.12;5195.8;no
39.0;technician;divorced;professional.course;unknown;yes;no;cellular;aug;mon;714;5;999;0;nonexistent;1.4;93.444;-36.1;4.965;5228.1;yes
45.0;management;single;basic.9y;no;yes;no;telephone;jun;thu;69;1;999;0;nonexistent;1.4;94.465;-41.8;4.961;5228.1;no
57.0;blue-collar;married;professional.course;unknown;unknown;unknown;telephone;may;tue;514;5;999;0;nonexistent;1.1;93.994;-36.4;4.856;5191.0;no
38.0;technician;married;university.degree;no;no;no;cellular;mar;tue;59;1;999;0;nonexistent;-1.8;92.84299999999999;-50.0;1.6869999999999998;5099.1;no
34.0;technician;married;professional.course;no;yes;no;cellular;may;wed;91;3;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.334;5099.1;no
26.0;blue-collar;single;basic.6y;unknown;yes;no;cellular;jul;tue;1833;2;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.961;5228.1;yes
30.0;technician;single;professional.course;no;no;yes;cellular;aug;wed;443;3;999;0;nonexistent;1.4;93.444;-36.1;4.9639999999999995;5228.1;no
28.0;admin.;single;university.degree;no;no;yes;cellular;mar;wed;96;2;999;0;nonexistent;-1.8;92.84299999999999;-50.0;1.548;5099.1;yes
42.0;admin.;divorced;university.degree;no;yes;no;cellular;apr;fri;237;2;999;1;failure;-1.8;93.075;-47.1;1.405;5099.1;no
39.0;unemployed;married;high.school;no;no;no;cellular;may;wed;100;1;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.334;5099.1;no
44.0;management;married;university.degree;no;no;no;cellular;sep;wed;210;1;3;3;success;-1.1;94.199;-37.5;0.88;4963.6;yes
85.0;housemaid;married;basic.4y;unknown;yes;no;cellular;apr;tue;167;1;6;2;success;-1.8;93.749;-34.6;0.642;5008.7;yes
60.0;retired;divorced;basic.4y;no;yes;no;cellular;jul;tue;600;1;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.961;5228.1;yes
45.0;housemaid;married;unknown;unknown;yes;yes;cellular;aug;fri;93;1;999;0;nonexistent;1.4;93.444;-36.1;4.9639999999999995;5228.1;no
42.0;blue-collar;married;basic.4y;unknown;yes;yes;telephone;jul;thu;472;1;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.966;5228.1;no
29.0;admin.;single;university.degree;no;no;no;cellular;apr;wed;548;2;999;0;nonexistent;-1.8;93.075;-47.1;1.445;5099.1;yes
27.0;student;single;basic.9y;no;yes;yes;cellular;may;mon;775;1;999;0;nonexistent;-1.8;93.876;-40.0;0.701;5008.7;yes
51.0;technician;married;professional.course;no;yes;no;cellular;apr;thu;687;1;0;1;success;-1.8;93.075;-47.1;1.365;5099.1;yes
29.0;blue-collar;married;basic.4y;unknown;no;no;cellular;may;tue;658;1;999;1;failure;-1.8;92.89299999999999;-46.2;1.291;5099.1;yes
37.0;technician;married;professional.course;no;yes;no;cellular;nov;tue;252;2;999;0;nonexistent;-0.1;93.2;-42.0;4.1530000000000005;5195.8;no
37.0;admin.;married;university.degree;no;yes;no;telephone;jun;fri;145;1;999;0;nonexistent;-2.9;92.963;-40.8;1.268;5076.2;no
40.0;management;divorced;university.degree;no;no;no;cellular;aug;fri;183;1;999;0;nonexistent;-1.7;94.027;-38.3;0.898;4991.6;no
36.0;services;married;high.school;no;yes;no;telephone;jun;fri;241;2;999;0;nonexistent;1.4;94.465;-41.8;4.959;5228.1;no
30.0;blue-collar;married;basic.9y;unknown;no;no;cellular;nov;thu;677;1;999;0;nonexistent;-0.1;93.2;-42.0;4.0760000000000005;5195.8;yes
33.0;admin.;single;university.degree;no;no;no;cellular;nov;thu;117;3;999;0;nonexistent;-0.1;93.2;-42.0;4.0760000000000005;5195.8;no
41.0;services;married;basic.9y;no;no;no;telephone;may;tue;157;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no
48.0;technician;married;professional.course;no;yes;yes;cellular;apr;thu;269;1;999;1;failure;-1.8;93.075;-47.1;1.365;5099.1;yes
50.0;housemaid;married;basic.6y;no;no;no;cellular;jul;thu;349;3;6;2;success;-1.7;94.215;-40.3;0.899;4991.6;yes
32.0;admin.;single;university.degree;no;no;no;cellular;oct;wed;371;1;999;0;nonexistent;-3.4;92.431;-26.9;0.7240000000000001;5017.5;yes
45.0;retired;married;basic.6y;unknown;no;yes;cellular;may;fri;102;1;999;1;failure;-1.8;92.89299999999999;-46.2;1.25;5099.1;no
39.0;services;divorced;high.school;no;yes;no;cellular;nov;wed;222;3;999;1;failure;-0.1;93.2;-42.0;4.12;5195.8;no
45.0;services;divorced;high.school;no;no;no;telephone;may;wed;111;5;999;0;nonexistent;1.1;93.994;-36.4;4.8580000000000005;5191.0;no
41.0;admin.;married;high.school;no;yes;no;telephone;may;wed;300;1;999;0;nonexistent;1.1;93.994;-36.4;4.859;5191.0;no
89.0;retired;divorced;basic.4y;no;yes;no;cellular;sep;tue;314;1;999;0;nonexistent;-1.1;94.199;-37.5;0.8809999999999999;4963.6;yes
32.0;services;divorced;basic.9y;unknown;no;no;cellular;jul;wed;68;2;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.963;5228.1;no
31.0;blue-collar;married;basic.9y;no;yes;no;cellular;jul;wed;72;1;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.962;5228.1;no
49.0;technician;married;basic.9y;no;no;no;telephone;may;mon;1467;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;yes
34.0;blue-collar;divorced;basic.6y;no;yes;no;cellular;jul;thu;1491;2;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.962;5228.1;yes
34.0;admin.;;high.school;no;yes;no;telephone;jun;mon;491;6;999;0;nonexistent;1.4;94.465;-41.8;4.961;5228.1;yes
37.0;admin.;married;basic.6y;no;yes;yes;cellular;jul;thu;1602;6;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.962;5228.1;yes
49.0;admin.;married;unknown;no;yes;yes;cellular;apr;wed;61;3;999;0;nonexistent;-1.8;93.075;-47.1;1.415;5099.1;no
27.0;admin.;single;professional.course;no;no;no;cellular;jul;tue;448;5;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.961;5228.1;yes
38.0;services;married;basic.9y;no;unknown;unknown;telephone;jun;fri;48;1;999;0;nonexistent;1.4;94.465;-41.8;4.959;5228.1;no
72.0;retired;married;professional.course;no;no;no;cellular;mar;fri;87;1;3;1;success;-1.8;93.369;-34.8;0.653;5008.7;yes
47.0;blue-collar;married;basic.4y;no;yes;no;telephone;jun;thu;309;1;999;0;nonexistent;1.4;94.465;-41.8;4.958;5228.1;no
29.0;blue-collar;single;basic.9y;no;no;no;telephone;jun;mon;411;1;999;0;nonexistent;1.4;94.465;-41.8;4.961;5228.1;no
37.0;unemployed;single;university.degree;no;yes;no;cellular;jul;thu;47;1;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.968;5228.1;no
53.0;admin.;single;university.degree;no;no;no;cellular;apr;mon;59;3;999;0;nonexistent;-1.8;93.075;-47.1;1.405;5099.1;no
53.0;housemaid;married;basic.4y;unknown;no;no;cellular;jul;tue;165;20;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.961;5228.1;no
54.0;blue-collar;married;high.school;no;no;no;cellular;dec;mon;344;1;999;0;nonexistent;-3.0;92.713;-33.0;0.7170000000000001;5023.5;yes
43.0;admin.;married;basic.9y;no;no;no;cellular;jul;fri;72;3;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.962;5228.1;no
57.0;admin.;married;basic.9y;no;no;no;cellular;may;thu;563;1;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.266;5099.1;yes
29.0;services;married;professional.course;no;no;no;cellular;aug;tue;836;3;999;0;nonexistent;1.4;93.444;-36.1;4.963;5228.1;yes
29.0;technician;single;basic.9y;no;yes;no;cellular;jul;wed;603;1;999;0;nonexistent;-1.7;94.215;-40.3;0.84;4991.6;yes
32.0;admin.;divorced;high.school;no;yes;no;telephone;may;fri;324;2;999;0;nonexistent;1.1;93.994;-36.4;4.855;5191.0;no
31.0;unemployed;divorced;university.degree;no;yes;yes;cellular;jul;wed;104;7;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.963;5228.1;no
59.0;retired;divorced;high.school;no;yes;no;cellular;apr;thu;247;2;999;1;failure;-1.8;93.749;-34.6;0.644;5008.7;no
27.0;blue-collar;single;basic.9y;no;yes;yes;cellular;may;thu;224;4;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.266;5099.1;yes
44.0;technician;single;unknown;unknown;no;no;telephone;may;wed;267;2;999;0;nonexistent;1.1;93.994;-36.4;4.859;5191.0;no
56.0;technician;divorced;professional.course;no;no;no;cellular;oct;mon;464;1;3;2;success;-1.1;94.601;-49.5;1.0;4963.6;yes
48.0;blue-collar;married;basic.6y;unknown;yes;no;cellular;jul;wed;709;2;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.957;5228.1;yes
30.0;blue-collar;married;basic.6y;no;no;no;telephone;may;thu;126;3;999;0;nonexistent;1.1;93.994;-36.4;4.855;5191.0;no
50.0;admin.;single;basic.9y;no;unknown;unknown;cellular;jun;wed;699;1;999;1;failure;-2.9;92.963;-40.8;1.26;5076.2;yes
34.0;self-employed;married;university.degree;no;no;no;telephone;jun;mon;139;2;999;0;nonexistent;1.4;94.465;-41.8;4.961;5228.1;no
30.0;technician;single;professional.course;no;yes;no;cellular;may;fri;26;6;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.25;5099.1;no
;admin.;married;university.degree;no;no;no;cellular;aug;thu;312;3;6;1;success;-1.7;94.027;-38.3;0.899;4991.6;yes
34.0;technician;married;professional.course;no;no;no;cellular;aug;thu;88;3;999;0;nonexistent;1.4;93.444;-36.1;4.963;5228.1;no
48.0;technician;married;professional.course;no;yes;yes;cellular;oct;mon;450;1;8;1;success;-1.1;94.601;-49.5;0.977;4963.6;yes
33.0;unemployed;married;university.degree;no;yes;yes;cellular;aug;fri;78;1;999;0;nonexistent;1.4;93.444;-36.1;4.9639999999999995;5228.1;no
55.0;retired;married;basic.4y;no;yes;no;cellular;apr;mon;158;1;999;0;nonexistent;-1.8;93.075;-47.1;1.466;5099.1;yes
33.0;technician;single;university.degree;no;yes;no;cellular;apr;thu;530;1;999;0;nonexistent;-1.8;93.075;-47.1;1.435;5099.1;yes
53.0;admin.;married;high.school;unknown;no;no;cellular;jul;thu;10;8;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.968;5228.1;no
34.0;services;married;high.school;no;no;no;telephone;may;wed;122;5;999;0;nonexistent;1.1;93.994;-36.4;4.856;5191.0;no
47.0;services;married;high.school;no;yes;no;cellular;aug;tue;836;1;999;0;nonexistent;1.4;93.444;-36.1;4.968;5228.1;yes
62.0;retired;married;university.degree;no;yes;no;cellular;nov;thu;329;1;999;2;failure;-1.1;94.76700000000001;-50.8;1.031;4963.6;yes
39.0;technician;single;professional.course;no;no;no;cellular;jul;mon;617;2;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.96;5228.1;yes
31.0;student;single;unknown;no;yes;no;cellular;aug;mon;868;3;18;3;failure;-1.7;94.027;-38.3;0.898;4991.6;yes
44.0;blue-collar;divorced;basic.6y;unknown;no;yes;telephone;jul;mon;122;2;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.96;5228.1;no
33.0;technician;married;professional.course;no;yes;no;cellular;may;fri;700;4;3;4;success;-1.8;93.876;-40.0;0.684;5008.7;yes
47.0;technician;single;high.school;no;no;no;cellular;aug;mon;160;1;999;0;nonexistent;1.4;93.444;-36.1;4.965;5228.1;no
30.0;admin.;single;university.degree;no;no;no;cellular;nov;fri;331;2;999;0;nonexistent;-0.1;93.2;-42.0;4.021;5195.8;yes
34.0;admin.;married;high.school;no;yes;yes;cellular;may;tue;259;1;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.344;5099.1;yes
38.0;housemaid;divorced;university.degree;no;no;no;cellular;nov;wed;403;2;999;0;nonexistent;-1.1;94.76700000000001;-50.8;1.03;4963.6;yes
45.0;unemployed;married;basic.6y;unknown;no;no;cellular;jul;wed;91;3;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.957;5228.1;no
30.0;services;single;high.school;no;no;no;cellular;may;mon;700;3;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.244;5099.1;yes
39.0;services;married;high.school;no;no;no;telephone;jun;thu;387;1;999;0;nonexistent;1.4;94.465;-41.8;4.8660000000000005;5228.1;no
48.0;blue-collar;married;basic.9y;no;yes;no;cellular;apr;wed;1032;3;999;2;failure;-1.8;93.075;-47.1;1.445;5099.1;yes
46.0;admin.;divorced;university.degree;no;no;no;telephone;may;fri;897;1;999;0;nonexistent;1.1;93.994;-36.4;4.859;5191.0;yes
40.0;blue-collar;married;professional.course;no;no;no;cellular;jul;mon;81;5;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.962;5228.1;no
50.0;admin.;married;university.degree;no;no;no;telephone;jul;mon;1076;17;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.962;5228.1;yes
54.0;housemaid;single;basic.9y;unknown;no;no;cellular;nov;mon;158;1;999;1;failure;-0.1;93.2;-42.0;4.191;5195.8;no
29.0;technician;married;unknown;no;yes;no;telephone;may;mon;252;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no
48.0;admin.;married;university.degree;no;yes;no;cellular;apr;thu;141;1;999;0;nonexistent;-1.8;93.749;-34.6;0.644;5008.7;yes
53.0;technician;divorced;university.degree;no;yes;no;telephone;may;wed;352;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no
30.0;technician;single;high.school;no;yes;no;cellular;may;wed;9;12;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.281;5099.1;no
30.0;admin.;single;professional.course;no;unknown;unknown;cellular;jun;thu;246;1;7;1;success;-2.9;92.963;-40.8;1.26;5076.2;yes
43.0;blue-collar;married;basic.9y;no;yes;no;telephone;jun;tue;128;1;999;0;nonexistent;1.4;94.465;-41.8;4.961;5228.1;no
56.0;self-employed;married;basic.9y;no;yes;no;telephone;aug;wed;41;7;999;0;nonexistent;1.4;93.444;-36.1;4.9639999999999995;5228.1;no
51.0;admin.;married;high.school;no;yes;no;cellular;nov;fri;9;5;999;0;nonexistent;-0.1;93.2;-42.0;4.021;5195.8;no
48.0;technician;married;university.degree;no;no;no;cellular;nov;tue;373;4;999;0;nonexistent;-0.1;93.2;-42.0;4.1530000000000005;5195.8;no
36.0;blue-collar;married;basic.9y;no;yes;no;cellular;nov;thu;164;4;999;0;nonexistent;-0.1;93.2;-42.0;4.0760000000000005;5195.8;no
54.0;services;married;unknown;no;no;no;telephone;may;thu;114;3;999;0;nonexistent;1.1;93.994;-36.4;4.86;5191.0;no
36.0;technician;married;professional.course;no;yes;no;telephone;may;mon;188;2;999;0;nonexistent;1.1;93.994;-36.4;4.8580000000000005;5191.0;no
60.0;retired;married;basic.9y;unknown;no;no;cellular;aug;wed;707;3;999;0;nonexistent;1.4;93.444;-36.1;4.965;5228.1;yes
72.0;retired;divorced;basic.6y;no;yes;no;cellular;nov;wed;199;1;999;0;nonexistent;-3.4;92.649;-30.1;0.715;5017.5;yes
30.0;admin.;divorced;university.degree;no;yes;no;cellular;may;fri;1598;4;999;1;failure;-1.8;92.89299999999999;-46.2;1.25;5099.1;yes
40.0;management;married;high.school;no;no;yes;cellular;nov;fri;105;5;999;1;failure;-0.1;93.2;-42.0;4.021;5195.8;no
39.0;management;married;high.school;no;no;no;telephone;may;fri;205;1;999;0;nonexistent;1.1;93.994;-36.4;4.855;5191.0;no
48.0;technician;divorced;professional.course;no;yes;no;cellular;jul;wed;118;3;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.963;5228.1;no
53.0;admin.;married;university.degree;no;yes;no;cellular;apr;tue;158;2;6;1;success;-1.8;93.075;-47.1;1.405;5099.1;yes
39.0;services;married;unknown;unknown;yes;yes;cellular;jul;wed;1201;6;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.963;5228.1;yes
57.0;blue-collar;divorced;basic.6y;unknown;no;no;cellular;jul;tue;632;6;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.961;5228.1;yes
30.0;student;single;unknown;no;no;no;cellular;dec;wed;343;1;4;2;success;-3.0;92.713;-33.0;0.715;5023.5;yes
32.0;services;married;basic.9y;no;no;no;telephone;may;thu;746;1;999;0;nonexistent;1.1;93.994;-36.4;4.86;5191.0;yes
33.0;management;single;university.degree;no;no;yes;telephone;may;fri;71;11;999;0;nonexistent;1.1;93.994;-36.4;4.859;5191.0;no
31.0;technician;married;professional.course;no;yes;no;cellular;aug;thu;373;1;999;0;nonexistent;1.4;93.444;-36.1;4.9639999999999995;5228.1;no
43.0;self-employed;divorced;university.degree;no;no;no;cellular;aug;mon;1529;1;999;1;failure;-2.9;92.20100000000001;-31.4;0.884;5076.2;no
52.0;services;married;high.school;no;no;yes;telephone;jun;mon;359;6;999;0;nonexistent;1.4;94.465;-41.8;4.865;5228.1;no
34.0;blue-collar;married;basic.9y;no;yes;no;telephone;may;thu;196;4;999;0;nonexistent;1.1;93.994;-36.4;4.86;5191.0;no
22.0;services;single;high.school;no;no;no;cellular;apr;thu;699;2;999;1;failure;-1.8;93.749;-34.6;0.644;5008.7;no
39.0;blue-collar;married;basic.6y;unknown;yes;yes;telephone;may;fri;162;1;999;0;nonexistent;1.1;93.994;-36.4;4.855;5191.0;no
45.0;admin.;single;high.school;no;yes;no;cellular;apr;thu;354;1;2;1;success;-1.8;93.075;-47.1;1.365;5099.1;yes
56.0;unemployed;divorced;university.degree;unknown;yes;no;telephone;may;fri;98;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no
50.0;technician;married;professional.course;unknown;yes;yes;telephone;jun;fri;705;7;999;0;nonexistent;1.4;94.465;-41.8;4.959;5228.1;yes
69.0;retired;divorced;professional.course;no;no;no;cellular;oct;tue;144;1;999;0;nonexistent;-3.4;92.431;-26.9;0.7440000000000001;5017.5;yes
36.0;blue-collar;married;basic.9y;unknown;no;no;cellular;may;wed;951;3;999;1;failure;-1.8;92.89299999999999;-46.2;1.281;5099.1;yes
34.0;admin.;divorced;university.degree;no;no;no;cellular;nov;fri;549;2;999;0;nonexistent;-0.1;93.2;-42.0;4.021;5195.8;yes
29.0;admin.;married;university.degree;no;no;yes;cellular;jun;tue;347;3;5;1;success;-1.7;94.055;-39.8;0.7020000000000001;4991.6;yes
31.0;blue-collar;married;basic.6y;unknown;yes;no;cellular;may;wed;153;1;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.334;5099.1;no
55.0;unknown;married;unknown;unknown;yes;no;cellular;jul;wed;323;3;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.963;5228.1;no
37.0;entrepreneur;married;university.degree;no;yes;no;cellular;jul;mon;183;1;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.96;5228.1;no
35.0;admin.;married;high.school;no;no;no;cellular;nov;tue;95;1;999;0;nonexistent;-0.1;93.2;-42.0;4.1530000000000005;5195.8;no
63.0;retired;married;high.school;no;no;no;cellular;oct;wed;335;1;999;0;nonexistent;-3.4;92.431;-26.9;0.74;5017.5;yes
